newco,parent,ex_date,size_tier,entry_offset_days,newco_1m,newco_3m,newco_6m,newco_12m,newco_18m,newco_24m,SPY_1m,excess_SPY_1m,SPY_3m,excess_SPY_3m,SPY_6m,excess_SPY_6m,SPY_12m,excess_SPY_12m,SPY_18m,excess_SPY_18m,SPY_24m,excess_SPY_24m,IWM_1m,excess_IWM_1m,IWM_3m,excess_IWM_3m,IWM_6m,excess_IWM_6m,IWM_12m,excess_IWM_12m,IWM_18m,excess_IWM_18m,IWM_24m,excess_IWM_24m,entry_strategy
HGV,HLT,2017-01-04,small,21,-0.01774133605902195,0.22824976649458018,0.23404977236434643,0.4582054744876336,0.1572841619584351,0.04469469113478519,0.03340011234038909,-0.05114144839941104,0.04972021633038404,0.17852955016419614,0.08876848100736145,0.14528129135698498,0.17319754669797627,0.28500792778965733,0.27602784173675876,-0.11874367977832367,0.23538717631915773,-0.19069248518437254,-0.0005111362279773823,-0.017230199831044568,0.018413173980693198,0.20983659251388698,0.031790544950096145,0.2022592274142503,0.09529776580570637,0.36290770868192723,0.24630562440783477,-0.08902146244939968,0.1309778915583646,-0.0862832004235794,T+21
CNDT,XRX,2017-01-03,large,21,0.07994485383281758,0.19021365853517458,0.1564438609205041,0.12060647638837829,0.29634728940262134,-0.0875258744128593,0.043640821130315866,0.03630403270250171,0.05281081419972811,0.13740284433544647,0.09427934768675739,0.06216451323374672,0.23284524367083392,-0.11223876728245563,0.2801294340785654,0.016217855324055952,0.24554501017862163,-0.33307088459148093,0.02143749217448554,0.058507361658332036,0.027354502634139743,0.16285915590103484,0.042476542524083616,0.11396731839642049,0.1564650348072525,-0.0358585584188742,0.25831703613687473,0.038030253265746605,0.1497060784464519,-0.2372319528593112,T+21
DOW,DWDP,2019-03-20,large,21,-0.1331139779449475,-0.09518475831962969,-0.14628660923185743,-0.42035450724047274,-0.06324906253402751,0.21545510881546037,-0.020929343178478277,-0.11218463476646923,0.029637058693458895,-0.12482181701308859,0.04173673757334306,-0.1880233468052005,-0.009227691578443609,-0.41112681566202913,0.23222704527325222,-0.29547610780727973,0.4734731609299927,-0.2580180521145323,-0.024800614991268732,-0.10831336295367877,-0.00820923407676899,-0.0869755242428607,-0.007829254269553276,-0.13845735496230416,-0.21364843784294807,-0.20670606939752467,0.06602633627302867,-0.12927539880705619,0.43325877920378764,-0.21780367038832726,T+21
CTVA,DWDP,2019-05-24,large,21,0.01264887134615833,0.025230805522354016,0.04573123411556912,-0.038833400070167556,0.44940774502873193,0.6585945898839982,0.031778664650718325,-0.019129793304559994,0.022273831940412103,0.002956973581941913,0.11531846262302081,-0.06958722850745169,0.06672317196471478,-0.10555657203488233,0.2989182056823769,0.150489539346355,0.5134271197603124,0.1451674701236858,0.027853449915237638,-0.015204578569079308,0.012013294371139072,0.013217511151214945,0.10814986082393419,-0.062418626708365066,-0.0713356848487432,0.03250228477857564,0.334543953259429,0.11486379176930295,0.5725468357645522,0.08604775411944598,T+21
CARR,RTX,2020-03-19,small,21,0.22975783495506064,0.8344076733009258,1.2754708923356772,1.9697526708152018,2.7903008090057573,1.9995947763112425,0.03686182448352526,0.19289601047153537,0.15681363286584382,0.677594040435082,0.2437035581226208,1.0317673342130564,0.48719655202863765,1.4825561187865641,0.6240214393514338,2.1662793696543234,0.6269300786503329,1.3726646976609096,0.07826216896997762,0.15149566598508302,0.21417319082306485,0.620234482477861,0.3556612431070869,0.9198096492285903,0.8226692082510723,1.1470834625641295,0.8970296139968683,1.893271195008889,0.7076864320239635,1.291908344287279,T+21
OTIS,RTX,2020-03-19,small,21,0.15245673594633624,0.2950226147000652,0.4426888789660075,0.5728986559705485,0.870451605406052,0.7019197097934149,0.03686182448352526,0.11559491146281098,0.15681363286584382,0.13820898183422137,0.2437035581226208,0.19898532084338671,0.48719655202863765,0.0857021039419108,0.6240214393514338,0.2464301660546182,0.6269300786503329,0.07498963114308199,0.07826216896997762,0.07419456697635862,0.21417319082306485,0.08084942387700034,0.3556612431070869,0.0870276358589206,0.8226692082510723,-0.2497705522805238,0.8970296139968683,-0.02657800859081627,0.7076864320239635,-0.005766722230548638,T+21
HWM,ARNC,2020-01-02,large,21,-0.02931897550946616,-0.4812782526481104,-0.3432417898059663,0.13337462632460095,0.4324537551107843,0.37434895729458795,-0.03474026094449889,0.00542128543503273,-0.11996325561211185,-0.36131499703599856,0.024863455200571316,-0.36810524500653763,0.19917129371483866,-0.0657966673902377,0.395579958400869,0.03687379670991531,0.44254980335817984,-0.06820084606359189,-0.06259239603779387,0.03327342052832771,-0.2227331706536726,-0.2585450819944378,-0.07067860779389623,-0.2725631820120701,0.33474101177946336,-0.2013663854548624,0.3847151878645374,0.04773856724624692,0.2827434799058455,0.09160547738874247,T+21
VNT,FTV,2020-09-24,small,21,0.04985135990507095,0.1251239094005303,0.046219669989109535,0.13066744946675057,-0.15075137739138822,-0.36572968456871846,0.03377867722904093,0.016072682676030015,0.11465655114053885,0.010467358259991455,0.21659135306840938,-0.17037168307929984,0.33601445426981535,-0.20534700480306478,0.22840909155824418,-0.3791604689496324,0.14595655378735262,-0.5116862383560711,0.10884885058844707,-0.05899749068337612,0.31210882555248265,-0.18698491615195234,0.40794653394679004,-0.3617268639576805,0.4212670509887546,-0.29059960152200404,0.1681201318332819,-0.3188715092246701,0.11724656785403353,-0.482976252422752,T+21
OGN,MRK,2021-05-14,small,21,-0.09116623348765185,0.05931119394323181,-0.07672881034693013,0.07650952724473159,-0.06453255601085472,-0.2892510141384341,0.027544924007619098,-0.11871115749527095,0.04980954276021943,0.009501651183012383,0.10628541605968089,-0.18301422640661102,-0.10763757201562141,0.184147099260353,-0.032465213698141926,-0.0320673423127128,0.07430707395560265,-0.3635580880940368,-0.055261365898755854,-0.035904867588895995,-0.044799584912807,0.10411077885603881,-0.056464980921137164,-0.020263829425792967,-0.25684089700297397,0.33335042424770556,-0.19638327574992465,0.13185071973906992,-0.16416148540229114,-0.12508952873614299,T+21
GXO,XPO,2021-07-22,small,21,0.08215436665729947,0.3441920258621116,0.053990861362074094,-0.4153147637541491,-0.3608046976076478,-0.1940299024724782,-0.018812683111153805,0.10096704976845328,0.06287167652613079,0.2813203493359808,-0.014003200983507602,0.0679940623455817,-0.054431998787069946,-0.36088276496707916,-0.0803622717639112,-0.2804424258437366,0.030012672885871394,-0.2240425753583496,0.009279956775668063,0.07287440988163141,0.09303777363420984,0.2511542522279018,-0.06884736167259164,0.12283822303466574,-0.10596763978039658,-0.3093471239737525,-0.10998293847583418,-0.2508217591318136,-0.11447261940323306,-0.07955728306924514,T+21
SLVM,IP,2021-09-23,small,21,0.16642544999463715,0.039073934924084064,0.5036181728622788,0.6854541288976543,0.6463292299858823,0.5806280014217409,0.03189000892633964,0.1345354410682975,-0.025897633033374223,0.06497156795745829,-0.048041603806508126,0.551659776668787,-0.15121164724315528,0.8366657761408096,-0.08647279479685899,0.7328020247827413,-0.049830167416689775,0.6304581688384306,0.018996397111353813,0.14742905288328334,-0.11111135574336839,0.15018529066745245,-0.1433048266520437,0.6469229995143225,-0.22750889891265613,0.9129630278103105,-0.23028771618024346,0.8766169461661257,-0.2592370319197511,0.839865033341492,T+21
